anio,cantidad_imagenes,cobertura_valida_pct,mndwi_media,mndwi_mediana,ndvi_media,ndvi_mediana,temporada
2019,20,100,-0.4261120512777622,-0.5663522036423594,0.33569839300469084,0.3475579490497236,invierno
2019,18,100,-0.36052584455785003,-0.44929797841370356,0.3401504966556258,0.33974365222860525,verano
2020,22,100,-0.2785496479234115,-0.45720702288246556,0.3848436879346753,0.4175762633059787,invierno
2020,24,100,-0.38605827110379193,-0.47276528162466497,0.2738505356930344,0.26926609349043507,verano
2021,18,100,-0.412865407609831,-0.543306868507312,0.3660117185222571,0.4023920001134102,invierno
2021,11,100,-0.3332344073955446,-0.41031946914794304,0.3829071810178884,0.37886766553160556,verano
2022,19,100,-0.40085018076428275,-0.5195715276448963,0.3483608073514282,0.3554395533279136,invierno
2022,22,100,-0.370001078850779,-0.449445362663596,0.33453629658045486,0.3241820332520811,verano
2023,20,100,-0.37809143959553587,-0.4882156973276256,0.43976944271242663,0.4410778765227873,invierno
2023,27,100,-0.3591358021768714,-0.4333571945070213,0.3584566419405958,0.33956659714547494,verano
2024,14,100,-0.372102062849241,-0.5120193028126404,0.404555259801365,0.43368696198269785,invierno
2024,22,100,-0.3595211260610015,-0.43368495957334435,0.37564965290420305,0.3553151933273271,verano
2025,18,100,-0.38988154450148216,-0.5196093788090762,0.4253855798340019,0.4414802841098424,invierno
2025,24,100,-0.343467180812891,-0.4101561490687821,0.36523336337576656,0.35527820693296197,verano
