zona,anio,temporada,superficie_agua_ha,ndvi_medio,umbral_mndwi
Albufera,2019,invierno,45.87,0.21,0
Albufera,2019,verano,40.17,0.254,0
Albufera,2020,invierno,72.62,0.194,0
Albufera,2020,verano,39.76,0.231,0
Albufera,2021,invierno,47.84,0.248,0
Albufera,2021,verano,48.13,0.287,0
Albufera,2022,invierno,49.83,0.202,0
Albufera,2022,verano,39.66,0.253,0
Albufera,2023,invierno,53.86,0.242,0
Albufera,2023,verano,44.22,0.246,0
Albufera,2024,invierno,43.59,0.228,0
Albufera,2024,verano,40.84,0.3,0
Albufera,2025,invierno,50.25,0.242,0
Albufera,2025,verano,43.61,0.267,0
Laguna Colejuda,2019,invierno,0.8,0.561,0
Laguna Colejuda,2019,verano,0.55,0.378,0
Laguna Colejuda,2020,invierno,7.12,0.573,0
Laguna Colejuda,2020,verano,0.0,0.348,0
Laguna Colejuda,2021,invierno,0.53,0.527,0
Laguna Colejuda,2021,verano,0.29,0.393,0
Laguna Colejuda,2022,invierno,2.74,0.543,0
Laguna Colejuda,2022,verano,0.06,0.375,0
Laguna Colejuda,2023,invierno,4.65,0.629,0
Laguna Colejuda,2023,verano,0.0,0.388,0
Laguna Colejuda,2024,invierno,6.66,0.581,0
Laguna Colejuda,2024,verano,0.15,0.401,0
Laguna Colejuda,2025,invierno,4.37,0.588,0
Laguna Colejuda,2025,verano,0.29,0.39,0
Laguna Matanza,2019,invierno,0.03,0.389,0
Laguna Matanza,2019,verano,0.01,0.427,0
Laguna Matanza,2020,invierno,31.15,0.527,0
Laguna Matanza,2020,verano,0.0,0.288,0
Laguna Matanza,2021,invierno,0.0,0.439,0
Laguna Matanza,2021,verano,0.0,0.508,0
Laguna Matanza,2022,invierno,0.0,0.452,0
Laguna Matanza,2022,verano,0.0,0.421,0
Laguna Matanza,2023,invierno,0.0,0.597,0
Laguna Matanza,2023,verano,0.0,0.502,0
Laguna Matanza,2024,invierno,19.98,0.548,0
Laguna Matanza,2024,verano,0.02,0.462,0
Laguna Matanza,2025,invierno,0.0,0.596,0
Laguna Matanza,2025,verano,0.16,0.483,0
