zona,anio,temporada,-0.1,0.0,0.1
Albufera,2019,invierno,64.49,45.87,41.99
Albufera,2019,verano,82.82,40.17,32.31
Albufera,2020,invierno,107.17,72.62,59.34
Albufera,2020,verano,74.8,39.76,33.38
Albufera,2021,invierno,70.55,47.84,42.06
Albufera,2021,verano,91.23,48.13,38.96
Albufera,2022,invierno,69.48,49.83,44.16
Albufera,2022,verano,74.11,39.66,33.19
Albufera,2023,invierno,77.96,53.86,46.0
Albufera,2023,verano,78.47,44.22,36.69
Albufera,2024,invierno,71.29,43.59,37.15
Albufera,2024,verano,74.85,40.84,35.61
Albufera,2025,invierno,76.11,50.25,45.31
Albufera,2025,verano,84.59,43.61,33.58
Laguna Colejuda,2019,invierno,2.07,0.8,0.28
Laguna Colejuda,2019,verano,3.94,0.55,0.22
Laguna Colejuda,2020,invierno,7.54,7.12,6.75
Laguna Colejuda,2020,verano,0.07,0.0,0.0
Laguna Colejuda,2021,invierno,1.49,0.53,0.26
Laguna Colejuda,2021,verano,3.01,0.29,0.02
Laguna Colejuda,2022,invierno,3.25,2.74,1.8
Laguna Colejuda,2022,verano,0.07,0.06,0.0
Laguna Colejuda,2023,invierno,5.14,4.65,4.28
Laguna Colejuda,2023,verano,0.03,0.0,0.0
Laguna Colejuda,2024,invierno,7.24,6.66,6.25
Laguna Colejuda,2024,verano,1.72,0.15,0.0
Laguna Colejuda,2025,invierno,4.97,4.37,3.81
Laguna Colejuda,2025,verano,2.56,0.29,0.0
Laguna Matanza,2019,invierno,1.91,0.03,0.0
Laguna Matanza,2019,verano,5.22,0.01,0.0
Laguna Matanza,2020,invierno,34.27,31.15,28.38
Laguna Matanza,2020,verano,0.0,0.0,0.0
Laguna Matanza,2021,invierno,0.0,0.0,0.0
Laguna Matanza,2021,verano,0.0,0.0,0.0
Laguna Matanza,2022,invierno,0.0,0.0,0.0
Laguna Matanza,2022,verano,0.87,0.0,0.0
Laguna Matanza,2023,invierno,0.0,0.0,0.0
Laguna Matanza,2023,verano,1.53,0.0,0.0
Laguna Matanza,2024,invierno,24.87,19.98,14.3
Laguna Matanza,2024,verano,2.62,0.02,0.0
Laguna Matanza,2025,invierno,0.0,0.0,0.0
Laguna Matanza,2025,verano,8.47,0.16,0.01
